encoderAngle, potentiometerVoltage
-379.248046875, 0.359375
-379.775390625, 0.34765625
-380.302734375, 0.35546875
-380.654296875, 0.3515625
-380.91796875, 0.34375
-381.357421875, 0.359375
-381.884765625, 0.34765625
-382.5, 0.359375
-383.203125, 0.34765625
-383.994140625, 0.35546875
-384.697265625, 0.359375
-385.400390625, 0.34765625
-386.103515625, 0.36328125
-386.71875, 0.34765625
-387.421875, 0.36328125
-388.212890625, 0.35546875
-389.091796875, 0.359375
-390.05859375, 0.3671875
-390.9375, 0.34765625
-391.904296875, 0.3671875
-392.783203125, 0.35546875
-393.662109375, 0.3671875
-394.541015625, 0.36328125
-395.419921875, 0.359375
-396.298828125, 0.37890625
-397.08984375, 0.35546875
-397.96875, 0.375
-398.759765625, 0.3671875
-399.55078125, 0.37109375
-400.25390625, 0.37109375
-401.044921875, 0.36328125
-401.748046875, 0.37890625
-402.451171875, 0.36328125
-403.2421875, 0.37890625
-404.033203125, 0.37109375
-404.912109375, 0.375
-405.703125, 0.37890625
-406.40625, 0.36328125
-407.109375, 0.38671875
-407.8125, 0.37109375
-408.515625, 0.3828125
-409.306640625, 0.37890625
-410.09765625, 0.375
-410.888671875, 0.38671875
-411.6796875, 0.37109375
-412.470703125, 0.38671875
-413.26171875, 0.375
-413.96484375, 0.38671875
-414.755859375, 0.3828125
-415.37109375, 0.37890625
-416.07421875, 0.390625
-416.689453125, 0.375
-417.3046875, 0.39453125
-418.0078125, 0.37890625
-418.623046875, 0.38671875
-419.23828125, 0.390625
-419.94140625, 0.3828125
-420.64453125, 0.39453125
-421.435546875, 0.37890625
-422.314453125, 0.39453125
-423.28125, 0.38671875
-424.3359375, 0.390625
-425.654296875, 0.3984375
-426.97265625, 0.38671875
-428.466796875, 0.40625
-429.873046875, 0.390625
-431.103515625, 0.3984375
-432.0703125, 0.39453125
-433.037109375, 0.39453125
-433.828125, 0.40625
-434.53125, 0.38671875
-435.234375, 0.40625
-435.9375, 0.39453125
-436.552734375, 0.40625
-437.16796875, 0.40234375
-437.783203125, 0.3984375
-438.3984375, 0.4140625
-438.92578125, 0.3984375
-439.453125, 0.4140625
-439.98046875, 0.3984375
-440.5078125, 0.40625
-441.123046875, 0.4140625
-441.73828125, 0.3984375
-442.353515625, 0.4140625
-442.96875, 0.40234375
-443.583984375, 0.4140625
-444.287109375, 0.41015625
-444.90234375, 0.40625
-445.60546875, 0.41796875
-446.220703125, 0.3984375
-446.748046875, 0.421875
-447.451171875, 0.40234375
-448.154296875, 0.41796875
-448.9453125, 0.4140625
-449.82421875, 0.41015625
-450.703125, 0.421875
-451.7578125, 0.4140625
-452.8125, 0.42578125
-453.955078125, 0.4140625
-455.185546875, 0.421875
-456.416015625, 0.421875
-457.646484375, 0.41015625
